Nome;Titulação;Pesquisador;Projetos Ativos
Cíntia Paese Giacomello;Doutorado;Sim;"Sistema de suporte à decisão baseado em GeoAI para a otimização de hortas urbanas: integração de indicadores sociais e qualidade do ar para sustentabilidade urbana,Cidades Resilientes,Data driven em ambientes complexos"
Juliana Matte;Doutorado;Sim;"Observatório do desenvolvimento sustentável baseado no conhecimento: um modelo de monitoramento do sistema de capitais para cidades do conhecimento,INOVAÇÃO DE PROCESSOS DE NEGÓCIOS: UM ESTUDO NO SETOR INDUSTRIAL TÊXTIL DE CAXIAS DO SUL EM TEMPOS DE COVID-19,Universidades Empreendedoras e Sustentabilidade Econômica a partir dos Ambientes de Inovação - UESAI"
Fabiano Larentis;Doutorado;Sim;"
Saberes-na-Ação: Práticas e os Contextos Organizacionais,Observatório do desenvolvimento sustentável baseado no conhecimento: um modelo de monitoramento do sistema de capitais para cidades do conhecimento"
Marcelo Benetti Correa da Silva;Doutorado;Sim;"
As Distintas Capacidades de Marketing e seus efeitos sobre o Desempenho Organizacional,A CONFIGURAÇÃO DA IMAGEM DE PREÇO DE LOJAS, MARCAS E PROUTOS,Observatório do desenvolvimento sustentável baseado no conhecimento: um modelo de monitoramento do sistema de capitais para cidades do conhecimento,A relação entre o valor de compra e a imagem de preço da loja mediada pelo omni-channel,Estratégias de Marketing Internacional e sua Influência na Percepção e no Comportamento de Consumidores Globais (MINT)"
Mateus Panizzon;Doutorado;Sim;"TEC4B - AGROCITY - Agricultura Inteligente em Cidades,Observatório de Inteligência Artificial na Gestão Pública: institucionalizando capacidades de Governança Antecipatória para Políticas Públicas,BUILDING AN ANTICIPATORY GOVERNANCE ARCHITECTURE: A SCIENTIFIC AI-FORESIGHT INTEGRATION WITH SUSTAINABLE S&T PUBLIC POLICIES DESIGN,EMERGENT SYSTEMS DESIGN: THEORETICAL FOUNDATIONS FOR BUSINESS ECOSYSTEMS RESILIENCE RESEARCH,RAIES - Rede de Inteligência Artificial Ética e Segura,Chamada CNPq/MCTI/FNDCT Nº 18/2021 - UNIVERSAL - Dinâmica da Inovação das Firmas Brasileiras e Argentinas: uma análise do papel da interação com universidades e do financiamento público,
H.IND.RE - Hotel Industry Resilience,
Desenvolvimento e aplicações de Modelos de Maturidade em cenários Industriais e de Serviços"
Mayron Dalla Santa de Carvalho;Doutorado;Sim;"UNIVERSIDADES EMPREENDEDORAS E SUSTENTABILIDADE ECONÔMICA A PARTIR DOS AMBIENTES DE INOVAÇÃO,KBD II - CONSTRUÇÃO E VALIDAÇÃO DE UM MODELO DE OBSERVATÓRIO DE DESENVOLVIMENTO BASEADO EM CONHECIMENTO DA REGIÃO DA SERRA GAÚCHA COMO UMA PLATAFORMA PARA A PROMOÇÃO DE TERRITÓRIOS INTELIGENTES"
Samuel Francisco Ferrigo;Mestrado;Sim;
Suane de Atayde Moschen;Especialização;Sim;"
Impacto do engajamento cidadão em iniciativas de Descarbonização em cidades: Uma abordagem de ciência cidadã,Inteligência Artificial e Ciência Cidadã para a Descarbonização Urbana: Enfrentamento à Desinformação e Inovação Sustentável,A Cidade Compassiva como uma Resposta à Crise Climática,Data driven em ambientes complexos,Observatório do desenvolvimento sustentável baseado no conhecimento: um modelo de monitoramento do sistema de capitais para cidades do conhecimento"
Suélen Bebber;Doutorado;Sim;"Dinâmicas de Co-criação e Inovação Tecnológica no Planejamento Urbano Sustentável,Observatório do desenvolvimento sustentável baseado no conhecimento: um modelo de monitoramento do sistema de capitais para cidades do conhecimento"
Michel Bregolin;Doutorado;Sim;"RECOTUR: Redes de Conhecimento, Estratégias Interorganizacionais e Integração de Operaçãoes de Serviços Turísticos no Destino Serra Gaúcha.,TC-CÂNIONS: Potencialidades e Condições para o Turismo Cientifico no Geoparque Unesco Caminho dos Cânions do Sul,Ecosistema, cambio climático y vínculos socio-ambientales a lo largo del continuo oceánico continental. Investigación socio-ecológica a largo plazo en la Patagonia (PATSER),Observação, Desenvolvimento e Inteligência Turística e Territorial - OIT2,Turismômetro: Monitoramento de Indicadores Turísticos da Serra Gaúcha."
Priscila Nesello;Doutorado;Sim;"Turismo e patrimônio paisagístico: subsídios ao planejamento territorial da Costa Doce Gaúcha,A Cidade Compassiva como uma Resposta à Crise Climática,
Desenvolvimento de um modelo de administração pública para cidades do conhecimentoGrupo de Estudos e Pesquisas em Administração Pública - GEPAP"
Rafael de Lucena Perini;Doutorado;Sim;"
Inovação e Transformação Econômica nas Cidades: Da Indústria ao Conhecimento,Democracia Digital e Governança Urbana: O Papel da Inovação Tecnológica na Promoção da Cidadania Ativa e Planejamento de Cidades Sustentáveis,DataLink Innovation: uma plataforma de conexão de atores do ecossistema de inovação de Caxias do Sul,Sistema de coleta de dados por dispositivos IoT (sensoriamento) para cidades inteligentes,Observatório do desenvolvimento sustentável baseado no conhecimento: um modelo de monitoramento do sistema de capitais para cidades do conhecimento"
Vinicius de Tomasi Ribeiro;Doutorado;Sim;"Impacto do engajamento cidadão em iniciativas de Descarbonização em cidades: Uma abordagem de ciência cidadã"
Vandoir Welchen;Doutorado;Sim;"
INTELIGÊNCIA ARTIFICIAL PARA O APOIO À DECISÃO CLÍNICA: ESTUDO COM HOSPITAIS DO RIO GRANDE DO SUL"
Clara Butignol Fredo;Graduação;Sim;
Thaís Zimmermann Suzin;Graduação;Sim;"
As Distintas Capacidades de Marketing e seus efeitos sobre o Desempenho Organizacional,Qualidade Percebida do Ambiente Construído: Serviço, Satisfação e Valor de Uso no contexto Residencial e Comercial,
Qualidade Percebida no Ambiente Construído"
