Sigla IES;Nome;Autores
IME;OTIMIZAÇÃO DE SISTEMA DE BLINDAGEM MULTICAMADAS DE COMPÓSITO DE MATRIZ EPÓXI COM FIBRA DE CAPIM-CAPETA (SPOROBOLUS INDICUS) FUNCIONALIZADA COM ÓXIDO DE GRAFENO;['SERGIO NEVES MONTEIRO', 'DOUGLAS SANTOS SILVA', 'ARTUR CAMPOSO PEREIRA']
UFMA;BIOESPONJAS COM PROPRIEDADES ANTIBACTERIANAS PARA USO FARMACÊUTICO;['ADENILSON OLIVEIRA DOS SANTOS', 'JAD LORENA FEITOSA SIMPLICIO', 'JOAO GOMES DE OLIVEIRA NETO', 'MARINALDO VILAR DE SOUZA JUNIOR', 'DJANY SOUZA SILVA', 'FRANCISCO FERREIRA DE SOUSA']
UFRPE;COMPOSIÇÃO COSMÉTICA CAPILAR CONTENDO ARGILAS PROCESSO DE OBTENÇÃO E USO;['FAUSTHON FRED DA SILVA']
UFRPE;OBTENÇÃO DE PRODUTO FARINÁCEO A PARTIR DA VAGEM DE MORINGA OLEIFEIRA LAM.;['JULIANO CARLO RUFINO DE FREITAS', 'JADSON DE FARIAS SILVA', 'DANILO LIMA DANTAS']
UEPA;GEL FITOCOSMÉTICO ANTIINFLAMATÓRIO CONTENDO ÓLEO  ESSENCIAL DE HYPTIS CRENATA (POHL) EX BENTH AMAZON;['PRISCILA XAVIER DE ARAUJO', 'ALESSANDRA SOUTO CARDOSO', 'LEDA LIMA DA SILVA', 'LUANNA DE MELO PEREIRA FERNANDES', 'IVETE FURTADO RIBEIRO CALDAS', 'ANDERSON BENTES DE LIMA']
UFRJ;DISPOSITIVOS MICROFLUÍDICOS PARA O CULTIVO DE ESFEROIDES CELULARES PARA TESTES DE SELEÇÃO DE FÁRMACOS E COMPOSTOS;['TIAGO ALBERTINI BALBINO', 'LETICIA EMILIANO CHARELLI', 'CAROLINA PALMA NAVEIRA COTTA']
UFBA;NANOPARTÍCULAS DE ÓLEO ESSENCIAL DE ALECRIM (ROSMARINUS OFFICINALIS L.) ELABORADAS COM FARINHA DE SEMENTE DE JACA VERDE (ARTOCARPUS HETEROPYLLUS LAM.) COMO ENCAPSULANTE;['CAMILA DUARTE FERREIRA', 'NICOLLY OLIVEIRA CRUZ', 'LIVIA DE MATOS SANTOS', 'JUAN MESSIAS SOUZA SANTOS', 'AGNES SOPHIA BRAGA ALVES', 'TAINARA SANTOS OLIVEIRA', 'LARISSA SANTOS ASSUNCAO']
PUCRS;SISTEMA DE MONITORAMENTO E CONTROLE ANTI-APNEIA OBSTRUTIVA DO SONO ATRAVÉS DE MECANISMO INTRABUCAL E MECANISMO INTRABUCAL RELACIONADO;['CESAR AUGUSTO MISSIO MARCON', 'SAMUEL KAFER RICARDO FONTOURA', 'NICOLE ARGENTA PIMENTEL', 'GUILHERME WOLFF', 'ALINE TEMPEL COSTA']
UCS;COMPOSIÇÃO, PROCESSO DE OBTENÇÃO DA COMPOSIÇÃO, MÉTODO DE APLICAÇÃO DA COMPOSIÇÃO E USO DA COMPOSIÇÃO;['GABRIEL FERNANDES PAULETTI', 'RAFAELA MENEGUZZO', 'WENDEL PAULO SILVESTRE']
UFPE;AÇÃO FUNGICIDA DE EXTRATOS AQUOSOS E ETANOL P.A. OBTIDOS A PARTIR DE FOLHAS DE PLECTRANTHUS ORNATUS CODD FRENTE A CANDIDA SPP.;['RENE DUARTE MARTINS', 'BRUNA RODRIGUES DE SOUSA', 'EDVANE BORGES DA SILVA', 'REGINALDO GONCALVES DE LIMA NETO']
