Sigla da IES;Instituição;Patente;Autores
UCS;UNIVERSIDADE DE CAXIAS DO SUL;CONJUNTO DE MOLAS PARA SUSPENSÃO DE VEÍCULO COMERCIAL, PROCESSO DE ATENUAÇÃO DE ENERGIA MECÂNICA EM VEÍCULO COMERCIAL E VEÍCULO COMERCIAL;['JOEL BOARETTO', 'SAKATA, ALBERTO YUKIO', 'EDUARDO FRANCISCO TENDE', 'JESSICA SILVA DE SOUZA', 'PAULO STEDILE FILHO', 'ROBINSON CARLOS DUDLEY CRUZ']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;BISCOITO SALGADO COM ADIÇÃO DE FITOESTERÓIS;['JULIANA STEFFENS', 'ANA LUIZA LIRA', 'ANDRE KENG WEI HSU', 'JAMILE ZENI']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MÉTODO IMPLEMENTADO POR COMPUTADOR PARA SEGMENTAÇÃO E EXTRAÇÃO DE REDE TOPOLÓGICA DE FRATURAS EM ATRIBUTOS SÍSMICOS;['LUIZ GONZAGA DA SILVEIRA JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"PATENTE: PROGRAMA DE COMPUTADOR. TÍTULO: ""BRAPCI EXPLORER""";['FRANCIELLE FRANCO DOS SANTOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;DNA SINTÉTICO RECOMBINANTE PARA EXPRESSÃO DE IGF1A EM ESPÉCIES PROBIÓTICAS;['VINICIUS FARIAS CAMPOS', 'JADE RIET GRAMINHO', 'BRUNA FÉLIX DA SILVA NORNBERG', 'LUIS FERNANDO FERNANDES MARINS', 'JOAO COSTA FILHO']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;CINZAS DE CASCAS DE ARROZ COMO FONTE DE SÍLICA NA PRODUÇÃO DE GRAFENOSILICATO DOPADO COM NIÓBIO OBTIDO PELO MÉTODO SOL-GEL;['ROGERIO MARCOS DAL LAGO', 'MARCELO LUIS MIGNONI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEINA QUIMERICA DOS ALPHAHERPESVIRUS BOVINOS 1 E 5 PARA VACINAÇÃO DE DIAGNOSTICO;['GEFERSON FISCHER', 'MARINA STURBELLE GARCIA', 'GUILHERME FEIJO DE SOUSA', 'LARIANE DA SILVA BARCELOS', 'NADALIN YANDRA BOTTON', 'MATHEUS IURI FRUHAUF', 'ALESSANDRA NEIS', 'LEONARDO CLASEN RIBEIRO', 'CRISTINA MENDES PETER', 'GILBERTO DAVILA VARGAS', 'SILVIA DE OLIVEIRA HUBNER', 'MARCELO DE LIMA', 'LUCIANO DA SILVA PINTO', 'AMILTON CLAIR PINTO SEIXAS NETO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;STARTUP E-CO TECH;['EDUARDA PEREIRA SOARES DIAS', 'ARTHUR ALVES COELHO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;STARTUP BIOSCIENT;['DARLING DE ANDRADE LOURENCO', 'ISADORA LEITZKE GUIDOTTI', 'GRATCHELA DUTRA RODRIGUES']
FEEVALE;UNIVERSIDADE FEEVALE;MÉTODO DE OBTENÇÃO DE EXTRATO HIDROALCOÓLICO LIOFILIZADO DAS FOLHAS DE ACACIA MEARNSII (ACÁCIA-NEGRA) E FORMULAÇÃO DE XAMPU PARABENO FREE CONTENDO O EXTRATO.;['ANA LUIZA ZIULKOSKI', 'PATRICIA WEIMER', 'ELEN LUIZA PELISOLI FORMAGIO ABDALLA', 'EDNA SAYURI SUYENAGA', 'LETICIA SCHERER KOESTER', 'FERNANDO DAL PONT MORISSO', 'ROCHELE CASSANTA ROSSI']
