Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DETECÇÃO E CLASSIFICAÇÃO DE VEÍCULOS POR QUANTIDADE DE EIXOS EM RODOVIAS BRASILEIRAS;DISSERTAÇÃO;['ROBERTO ROSA DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ESTRATIGRAFIA E PETROFÍSICA DAS ROCHAS VULCÂNICAS DO GRUPO SERRA GERAL NO VALE DO RIO DAS ANTAS, RS;DISSERTAÇÃO;['MARCELO CANALS MEUCCI']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;“EXPLORING ARTIFICIAL INTELLIGENCE METHODS FOR THE AUTOMATIC MEASUREMENT OF A NEW BIOMARKER AIMING AT GLAUCOMA DIAGNOSIS;DISSERTAÇÃO;['GABRIEL CASTRO FERNANDES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Interações em [2]Rotaxanos: da Influência das Estações no Movimento de Rotação em Solução à Formação de Solvato e Similaridade Cristalina;TESE;['FELLIPE FREIRE SANTOS DE FARIAS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;REFINAMENTO DE ESPECIFICAÇÕES DE REQUISITO PELA DETECÇÃO DE INCONSISTÊNCIAS, AMBIGUIDADES E INCOMPLETUDES ATRAVÉS DO PROCESSAMENTO DE LINGUAGEM NATURAL;DISSERTAÇÃO;['OTAVIO DA CRUZ MELLO']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PALEOENVIRONMENTAL AND BIOSTRATIGRAPHIC CONSTRAINTS FOR UPPERMOST CRETACEOUS (MAASTRICHTIAN) SEDIMENTARY SUCCESSIONS OF NORTHERN SOUTH AMERICA;TESE;['GERMAN DAVID PATARROYO CAMARGO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Síntese e estudo espectroscópico de híbridos moleculares reativos à transferência de próton intramolecular no estado excitado (ESIPT);TESE;['LOUISE KOMMERS REIMANN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ANATOMIA INTERNA DA REGIÃO ROSTRAL DE CINODONTES PROZOSTRODONTES (CYNODONTIA, PROBAINOIGNATHIA, PROZOSTRODONTIA) DO TRIÁSSICO SULBRASILEIRO E IMPLICAÇÕES PALEOBIOLÓGICAS;TESE;['PEDRO HENRIQUE MORAIS FONSECA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;ProMerge: Uma abordagem para auxiliar desenvolvedores na detecção e resolução proativa de conflitos de integração de arquivos fontes;DISSERTAÇÃO;['CARLOS EDUARDO CARBONERA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Meta-Learning for Classifier Ensemble Optimization;DISSERTAÇÃO;['CHRISTIAN SCHMITZ']
