Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Enhancing Classification with Hybrid Feature Selection: A Multi-Objective Genetic Algorithm for High-Dimensional Data;DISSERTAÇÃO;['JONAS DA SILVEIRA BOHRER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Descrição da Precipitação ocorrida durante a germinação da canola, no ano de 2022, no Centro Agropecuário da Palma - Capão do Leão - RS;DISSERTAÇÃO;['MARCOS JEAN DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CÁLCULOS MECÂNICOS QUÂNTICOS NO DESENVOLVIMENTO DE CAMPOS DE FORÇA PARA SÉRIE DE CRISTAIS LÍQUIDOS 3-(4-ALQUILOXIFENIL)-5-(4-ARIL)ISOXAZOL;TESE;['LEANDRO GREFF DA SILVEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;“Produção de matéria escura em ressonância através de um novo mediador massivo de spin-1” (“Resonant dark matter production through a new spin-1 massive mediator”);TESE;['MARCIO DE SOUSA MATEUS JUNIOR']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;“ParkMapSense: Um Modelo Computacional de Mapeamento e Predição de Ocupação de Vagas de Estacionamento Rotativo Público baseado em Históricos de Contextos;DISSERTAÇÃO;['CARLOS EDUARDO LIEDTKE BORGES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Alfaba: Desenvolvimento de uma Ferramenta Multissensorial com Interface Tangível para o Suporte à Alfabetização de Crianças com Dislexia;DISSERTAÇÃO;['LAURA QUEVEDO JURGINA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;“PAPEL DO FITOPLÂNCTON NA DINÂMICA DO CO2 NA PROFUNDIDADE DO  MÁXIMO DA CLOROFILA-A AO LONGO DE UMA SEÇÃO ZONAL (34.5ºS) NO  OCEANO ATLÂNTICO SUL;DISSERTAÇÃO;['JOAO VITOR LANGORTE BUENO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;NOVA ESTRÁTEGIA DE SÍNTESE DE TIOHIDANTOÍNAS: ESTUDO DA RELAÇÃO ESTRUTURA-ATIVIDADE E DOCKING MOLECULAR;DISSERTAÇÃO;['TARSIS AUGUSTO ALEXANDRE CHAGAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Um pipeline de aprendizado de máquina para reconhecimento de emoções com base em informações temporais e espaciais de mapas topográficos gerados a partir de sinais de eletroencefalograma;DISSERTAÇÃO;['BRUNO CASCAES ALVES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;“IMPACTOS ECOLÓGICOS E AVALIAÇÃO DA EFICIÊNCIA DE MEDIDAS REDUTORAS DE CAPTURA INCIDENTAL NA PESCA ARTESANAL DE CAMARÃO-ROSA (Penaeus paulensis)”. ;TESE;['SAMANTA DA SILVEIRA BORGES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Providing an energy efficient UAV BS positioning mechanism to improve wireless connectivity;TESE;['FAEZEH PASANDIDEH']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Towards Teaching Abstraction: Approaching Modeling and Problem-Solving Skills with Graph Grammars and Game-Based Learning;TESE;['BRAZ ARAUJO DA SILVA JUNIOR']
UPF;UNIVERSIDADE DE PASSO FUNDO;NATURAL LANGUAGE PROCESSING  FOR SENSITIVE DATA  RECOGNITION AND PRIVACY IN  DIGITAL DOCUMENTS;DISSERTAÇÃO;['SAMUEL ANTUNES VIEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CompOD: LGPD Compliance framework for Open Data;DISSERTAÇÃO;['SHIRLEI LUCIA OLIVEIRA DO CARMO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;A MODULAR ARCHITECTURE FOR THE EMULATION OF SCALABLE EDGE APPLICATIONS;TESE;['MATHEUS LYRA DA SILVA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;BIODIVERSIDADE E BIOGEOGRAFIA DO MESOZOOPLÂNCTON AO LONGO DE UM TRANSECTO TRANSATLÂNTICO;DISSERTAÇÃO;['CLAUS INCK FREITAS FURTADO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Desenvolvimento e aplicação de método QuEChERS e UHPLC-MS/MS para determinação multirresíduo de agrotóxicos em polpa de açaí;TESE;['RAFAEL BEL PRESTES DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MODELO DEPOSICIONAL E EVOLUÇÃO BASEADOS EM ATRIBUTOS SÍSMICOS DO CANYON ALMIRANTE CÂMARA: NEÓGENO AO QUATERNÁRIO DA BACIA DE CAMPOS, BRASIL;DISSERTAÇÃO;['SAMUEL APARECIDO DA SILVA CORREA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Uma estimativa ABP para equações do tipo integro-diferencial totalmente não lineares;DISSERTAÇÃO;['ADIR MATOS DE SOUZA JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CARACTERIZAÇÃO DAS ESTRUTURAS DE DEFORMAÇÃO EM SEDIMENTOS INCONSOLIDADOS EM SISTEMAS EÓLICOS ÚMIDOS, FORMAÇÃO BUENA VISTA, PERMIANO SUPERIOR DA BACIA DO PARANÁ;DISSERTAÇÃO;['GABRIEL SCHAFFER SIPP']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Ocorrência de Ocratoxina A e perfil de ácidos fenólicos em vinho;DISSERTAÇÃO;['ELIZANGELA GONCALVES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;OCORRÊNCIAS DE CONODONTES NO MAR DEVONIANO DA REGIÃO AMAZÔNICA, GONDWANA OCIDENTAL: BIOESTRATIGRAFIA E PALEOAMBIENTE;DISSERTAÇÃO;['JORDANA MARIA VICCARI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Estrutura mega porosa à base de quitosana e modificadas com nanotubos de carbono como adsorvente  do ibuprofeno;DISSERTAÇÃO;['KELI ARRUDA DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; “Feedback de AGNs em gás molecular frio” (“AGN feedback in cold molecular gas”);TESE;['BRUNO DALL AGNOL DE OLIVEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GLACIOQUÍMICA E INTERPRETAÇÃO AMBIENTAL DE UM TESTEMUNHO DE NEVE DO INTERIOR DA ANTÁRTICA;DISSERTAÇÃO;['REGINA DE SOUZA FERREIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ESTROMATÓLITOS DESÉRTICOS SILICICLÁSTICOS DA FORMAÇÃO GUARÁ, JURÁSSICO SUPERIOR DA BACIA DO PARANÁ: TRAPEAMENTO E AGLUTINAÇÃO EM UM CONTEXTO NÃO-MARINHO;DISSERTAÇÃO;['BRUNO SILVERSTON ANGONESE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Análise da Correlação entre Erros Transientes, Desempenho e Eficiência Energética de Aplicações Paralelas Executadas em Dispositivos com Múltiplos Núcleos;DISSERTAÇÃO;['JOSE EDUARDO THUMS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MPC-SDP: um classificador genérico baseado em múltiplas perspectivas para a predição da evasão estudantil;TESE;['MIRIAM PIZZATTO COLPO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FILMES DE CARBONO TIPO DIAMANTE (DLC) PARA LIGAS DE BRONZE: ESTUDO DO COMPORTAMENTO ELETROQUÍMICO E VIABILIDADE COMO ALTERNATIVA À PÁTINA ARTIFICIAL;TESE;['LAZARO ALEIXO DOS SANTOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Estudo da produção de quarks top na evaporação de buracos negros no LHC e FCC;DISSERTAÇÃO;['BRENDA ROLIN ARIGOITO MIRANDA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Degradação de sacolas plásticas de polietileno oxo-degradável: potenciais fontes de microplásticos e contaminantes metálicos;TESE;['RAIMARA DE SOUZA GOMES']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Belezati: Desenvolvimento de um módulo de escaneamento e descrição de ingredientes cosméticos baseado na web utilizando tecnologia OCR via API;DISSERTAÇÃO;['DEISE DALL AGNOL SEVERO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Simulação Numérica de Aspiração de Células por Micropipetas ;TESE;['GUSTAVO OURIQUE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Globalização de Ações Parciais de Grupoides sobre Anéis Semiprimos;TESE;['JULIANA CAMILE DO NASCIMENTO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;UNSUPERVISED DEEP LEARNING TO SUPERVISED INTERPRETABILITY: A DUAL-STAGE APPROACH FOR FINANCIAL ANOMALY DETECTION;DISSERTAÇÃO;['MARCOS BRUM FREIRE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DIVERSIDADE DE RAIAS (MYLIOBATIFORMES) FÓSSEIS DA PANÍCIE COSTEIRA DO RIO GRANDE DO SUL (QUATERNÁRIO);DISSERTAÇÃO;['THIAGO BRITTO RODRIGUES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Projeto Eficiente de Arquiteturas de Hardware Dedicadas para o Módulo das Transformadas na Codificação de Sinais Visuais: Estudo de Caso no Codificador AV1;TESE;['JONES WILLIAM GOEBEL']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;“SLICE AGENT FOR IDENTIFICATION AND DATA SEGREGATION IN A SHARED OPEN RADIO UNIT MULTIPOINT-TO-MULTIPOINT;DISSERTAÇÃO;['FELIPE ARNHOLD']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;UMA ABORDAGEM PARA ORQUESTRAR TIMES HÍBRIDOS DE DESENVOLVIMENTO DE SOFTWARE;TESE;['EVERTON LUIS LUZ DE QUADROS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;VARIAÇÃO TEMPORAL E ESPACIAL DAS COMUNIDADES MESOZOOPLANCTÔNICAS SUB-SUPERFICIAIS NOS ESTREITOS DE GERLACHE E BRANSFIELD, PENÍNSULA ANTÁRTICA OCIDENTAL;DISSERTAÇÃO;['CAMILA MAXIMO LEONOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Mapping Crowd-based Dynamic Blockages for Navighation in Indoor Environments;DISSERTAÇÃO;['ALLEFF DYMYTRY PEREIRA DE DEUS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Ensino de Química: um estudo de caso acerca das estratégias didáticas usadas com alunos deficientes visuais.;DISSERTAÇÃO;['EDUARDA VIEIRA DE SOUZA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;BIOLOGIA REPRODUTIVA, DISTRIBUIÇÃO E ABUNDÂNCIA DE SQUALUS MEGALOPS E SQUALUS MITSUKURII NO SUL DO BRASIL;DISSERTAÇÃO;['MONICA CAMILA LOURENCO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""Regulação de Carga de Partículas Coloidais” (“Charge Regulation of Colloidal Particles”)";TESE;['AMIN BAKHSHANDEH']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Comparação entre diferentes tipos de função de ativação em um controlador cascata neural para um atuador hidráulico  4) Linha de Pesquisa;DISSERTAÇÃO;['THOMAZ PEREIRA DA SILVA JUNIOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; Bayesian, Frequentist and Ensemble  methods on human decision making  compared with machine decision;DISSERTAÇÃO;['SOFIA TADEU APUZZO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MÁQUINAS DE TURING, DECIDIBILIDADE E COMPUTABILIDADE;DISSERTAÇÃO;['FILIPE RAMOS NETTO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ESTIMATIVA DE GASES DE EFEITO ESTUFA EM ÁREA DE EXTRAÇÃO DE CARVÃO  MINERAL E EMPREENDIMENTOS TERMELÉTRICOS – CANDIOTA/RS;TESE;['BRUNA LUDTKE PAIM']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Designing and Evaluating  Immersive Analytics Environments for  Spatio-Temporal Data;TESE;['JORGE ALBERTO WAGNER FILHO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;REMOTE SENSING  FOR HERBICIDE ASSESSMENT IN SOYBEAN ;TESE;['TALES CAMARGOS ABRANTES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Evaluation of Question Answer Generation for Portuguese: Insights and Datasets;DISSERTAÇÃO;['FELIPE SOARES FAGUNDES PAULA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Beyond Accuracy: Completeness and Relevance Metrics for Evaluating Long Answers;TESE;['EDUARDO GABRIEL CORTES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Exploring Approximate Arithmetic Computing in Hardware Security Applications;TESE;['MORGANA MACEDO AZEVEDO DA ROSA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Estudo Computacional de Sistemas Polimórficos;TESE;['THIAGO PUCCINELLI ORLANDI NOGUEIRA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ESTUDOS DE ADSORÇÃO DE AZOCARBOXILATOS EM BIOCHAR E FILME DE QUITOSANA;DISSERTAÇÃO;['ISIS ANDRESSA RIBEIRO DE ARAUJO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DeAR: Combining Desktop and Augmented  Reality for Visual Data Analysis;DISSERTAÇÃO;['YHONATAN JESUS IQUIAPAZA CCAMA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Produção Exclusiva de Díons em Colisões de Altas Energias;DISSERTAÇÃO;['LUIS FELIPE DA CONCEICAO INACIO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;ANÁLISE DOS DADOS DO SISAGUA E VALIDAÇÃO DE MÉTODO PARA DETERMINAÇÃO DE AGROTÓXICOS EM ÁGUA POTÁVEL A FIM DE ATENDER AS LEGISLAÇÕES BRASILEIRAS;DISSERTAÇÃO;['PAOLA JENNIFER BABINSKI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Hidrogéis biomiméticos Adesivos à base de gelatina funcionalizada por compostos fenólicos;DISSERTAÇÃO;['BIBIANA MADEIRA MELO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MODELAGEM ESPACIAL PARA A AVALIAÇÃO DE SERVIÇOS  ECOSSISTÊMICOS HIDROLÓGICOS (SEH) EM BACIAS HIDROGRÁFICAS.  ESTUDO DE CASO DA BACIA DA LAGOA MIRIM-RS, BRASIL. ;TESE;['KAHUAM DE SOUZA GIANUCA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Monocular depth estimation applied to global localization over 2D floor plans;DISSERTAÇÃO;['CRISTIAN LOPES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CONTRIBUIÇÃO AO CONHECIMENTO SOBRE OS PADRÕES DE CRESCIMENTO DOS ARCOSSAUROS PSEUDOSUCHIA, A PARTIR DA ANÁLISE OSTEOHISTOLÓGICA DE DECURIASUCHUS QUARTACOLONIA E PRESTOSUCHUS CHINIQUENSIS (PARACROCODYLOMORPHA, LORICATA) DO TRIÁSSICO DO RIO GRANDE DO SUL, BRASIL;TESE;['BRODSKY DANTAS MACEDO DE FARIAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ESTIMATIVAS PARA SOLUC¸ ˜OES E EXISTˆENCIA DE SOLUC¸ ˜OES OPTIMAIS PARA PROBLEMAS ENVOLVENDO O p-LAPLACIANO FRACION´ARIO;TESE;['EDUARDO HENRIQUE PHILIPPSEN']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DIMENSIONS FOR PLANNING AND DEVELOPING CAPSTONE PROJECT COURSES;DISSERTAÇÃO;['LUIZ HENRIQUE BORGES MOSMANN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ÍNDICE DE VULNERABILIDADE COSTEIRA E ANÁLISE TEMPORAL DE  ALTERAÇÕES NO ECOSSISTEMA DE DUNAS NO DISTRITO DE QUINTÃO/RS;DISSERTAÇÃO;['FILIPE AGUIAR ROCHA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;REPRESENTAÇÃO DOS TRANSPORTES DE VOLUME E CALOR ASSOCIADOS À AMOC NO ATLÂNTICO SUL;DISSERTAÇÃO;['SOPHIA BUSS RAFFI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Produção de partículas em colisões hadrônicas para baixas e altas multiplicidades;TESE;['YURI DO NASCIMENTO LIMA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;FLUORESCÊNCIA MOLECULAR SÍNCRONA ASSOCIADA À CALIBRAÇÃO MULTIVARIADA COMO ALTERNATIVA EXPEDITA NA DETERMINAÇÃO DE HIDROCARBONETOS POLICÍCLICOS AROMÁTICOS EM MATRIZES ORGÂNICAS COMPLEXAS;TESE;['WILLIAM CRISTIANO LORENZONI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Ajuste de Primitivas Geométricas a Nuvens de Pontos de Larga Escala utilizando Aprendizado Profund;DISSERTAÇÃO;['IGOR PARDO MAURELL']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;HARDWARE ACCELERATION FOR POST-QUANTUM CRYPTOGRAPHY IN RESOURCE CONSTRAINED EMBEDDED SYSTEMS WITH RISC-V ISES;DISSERTAÇÃO;['CARLOS GABRIEL DE ARAUJO GEWEHR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CARACTERIZAÇÃO E IMPLICAÇÕES PRESERVACIONAIS DA BIOEROSÃO EM FORAMINÍFEROS PLANCTÔNICOS QUATERNÁRIOS;TESE;['CRISTIANE FRAGA FROZZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Modelo de longa duração com distribuição exponencial por partes potência e aplicação no contexto de crédito;DISSERTAÇÃO;['LEONARDO DE MIRANDA PINHEIRO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Hyperkinetic Movement Disorder Analysis using Multidimensional Projections;DISSERTAÇÃO;['ANDRESSA SILVA DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CARACTERIZAÇÃO PETROGRÁFICA, QUÍMICA MINERAL E PETROGÊNESE DO KIMBERLITO ROSÁRIO 16 – ROSÁRIO DO SUL/RS;DISSERTAÇÃO;['ANDREA BRUM DA SILVA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Síntese de N-heterociclos: 5-carboxialdeído-oxazóis e tetrazolo[1,5- a]quinolinas;DISSERTAÇÃO;['LOANA IMBRIAGO MONZON']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EVOLUÇÃO PALEOAMBIENTAL DO BIOMA PAMPA DURANTE OS ÚLTIMOS 17.400 ANOS: UMA ABORDAGEM MULTI-PROXY;TESE;['VITOR LUIZ SCARTAZZINI BOCALON']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;OVERCOMING TECHNOLOGICAL BARRIERS IN RERAM-BASED NEURAL NETWORKS BY ADDRESSING SCALABILITY AND COMPLEXITY CHALLENGES;TESE;['RAFAEL FAO DE MOURA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Aplicação do Ácido Tricloroisocianúrico e Disselenetos de Diorganoíla para a Síntese de Compostos Organosselenados;TESE;['GUSTAVO BIERHALS BLODORN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;δ13CDIC COMO INDICADOR DE PROCESSOS BIOGEOQUÍMICOS  E HIDRODINÂMICOS NO VERÃO AUSTRAL AO LONGO DO ESTREITO DE BRANSFIELD, ANTÁRTICA;DISSERTAÇÃO;['YASMYM SCHUTZ DE VINCENZI WEIRICH']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;NVESTIGAÇÃO DE MÉTODOS DE PREPARO DE AMOSTRAS PARA SUPLEMENTOS DIETÉTICOS E DETERMINAÇÃO DE SELÊNIO TOTAL;DISSERTAÇÃO;['LARISSA MAYARA ALVES DE OLIVEIRA']
UPF;UNIVERSIDADE DE PASSO FUNDO;SYSDAE - USANDO MACHINE LEARNING NUMA ANÁLISE DO PERFIL COMPORTAMENTAL DOS ALUNOS DO ENSINO MÉDIO DO IFRS - CÂMPUS  SERTÃO;DISSERTAÇÃO;['CEDEMIR PEREIRA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Dinâmica do gás ionizado em Núcleos Ativos de Galáxias de baixa luminosidade;TESE;['KELLY FRANK HECKLER']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;ATHENA: UM MODELO COMPUTACIONAL PARA SERVIÇOS INTELIGENTES NA EDUCAÇÃO A DISTÂNCIA USANDO HISTÓRICOS DE CONTEXTOS;TESE;['LIDIA MARTINS DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CONVERSÃO DE PET PÓS-CONSUMO EM MACROMONÔMEROS POR MEIO DA REAÇÃO DE GLICERÓLISE EM MICRO-ONDAS E FORMAÇÃO DE HIDROGÉIS COM POTENCIAL PARA REMOÇÃO DE CORANTES;DISSERTAÇÃO;['DANIELA EDUARDA SCHNEIDER']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Utilização de esponja de quitosana para remoção de petróleo e óleo lubrificante usado em sistema aquoso;TESE;['ROMULO HENRIQUE BATISTA DE FARIAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Desenvolvimento de uma plataforma multipropósito programável microcontrolada para aquisição de dados e controle de potência em fontes de energias renováveis.;DISSERTAÇÃO;['LUCAS BONIFACIO SELBACH']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Evidências da eletrização de polímeros dielétricos durante a impressão 3D;DISSERTAÇÃO;['EZEQUIEL LORENZETT']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CARACTERÍSTICAS DEPOSICIONAIS DAS ROCHAS INTRACLÁSTICAS DO PRÉ-SAL DA BACIA DE SANTOS;TESE;['SABRINA DANNI ALTENHOFEN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;BIOESTRATIGRAFIA E PALEOAMBIENTES DE DEPÓSITOS PERMIANOS DA BACIA DO PARNAÍBA, NOROESTE DO GONDWANA OCIDENTAL;TESE;['EDVALDO JOSE DE OLIVEIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;VARIAÇÃO PALEOSECULAR E PALEOINTENSIDADE RELATIVA DO CAMPO GEOMAGNÉTICO NO SUL DO BRASIL ENTRE 45 E 3 MIL ANOS;TESE;['CAMILA TRINDADE LOPES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Análise espaço-temporal do campo térmico superficial de Porto Alegre  utilizando o Google Earth Engine;DISSERTAÇÃO;['GABRIEL AMORETTI FRANCO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;EMULSIFICAÇÃO DO FLUCONAZOL UTILIZANDO LÍQUIDOS IÔNICOS COM CÁTIONS IMIDAZOLÍNEOS E COM CONTRAÍONS CARBOXILATOS;DISSERTAÇÃO;['LETICIA ZIBETTI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Identificação de números primos com computadores quânticos;DISSERTAÇÃO;['VICTOR FERREIRA DOS SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Automating Risk of Bias Inference in  Clinical Studies;TESE;['ABEL CORREA DIAS']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MILPDM: AN ARCHITECTURE FOR PREDICTIVE MAINTENANCE OF ASSETS IN THE MILITARY DOMAIN;TESE;['JOVANI DALZOCHIO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ENTENDENDO VANTAGENS E DESVANTAGENS EM APLICAÇÕES MONOLÍTICAS VERSUS O USO DE MICRO-SERVIÇOS;DISSERTAÇÃO;['DANIEL DOS SANTOS KRUG']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Inserção de óxido de grafeno em fotoeletrodos de ZnS crescidos sobre ZnO;DISSERTAÇÃO;['THIAGO KURZ PEDRA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Modelagem preditiva visando o suporte à operação de guindastes;DISSERTAÇÃO;['MARCOS VILLELA RODRIGUES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Sementes paleozóicas do Afloramento Cocuruto (Mariana Pimentel, RS): taxonomia, síndromes de dispersão, afinidades botânicas e significado bioestratigráfico;DISSERTAÇÃO;['RAUL SANTOS DO PRADO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;RELAÇÃO ENTRE CICLONES EXTRATROPICAIS E ONDAS DE CALOR MARINHAS NO SUDOESTE DO OCEANO ATLÂNTICO;TESE;['CARINA KLUG PADILHA REINKE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;RECONSTITUIÇÃO PALEOAMBIENTAL E PALEOECOLÓGICA DO TRIÁSSICO DO RIO GRANDE DO SUL COM BASE EM EVIDÊNCIAS GEOQUÍMICAS EM DENTES DE TETRÁPODES;TESE;['LEONARDO CORECCO DE QUEIROZ']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Balanceamento de Carga Baseado em Divisão de Tarefas Multimídia para RSSF Reativas;TESE;['WESLEN SCHIAVON DE SOUZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""Astrossismologia de estrelas anãs brancas pulsantes de baixa massa""";TESE;['GABRIEL LAUFFER RAMOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DIVERSITY IN VIRTUAL HUMANS: UNVEILING BIASES IN HUMAN CHARACTERISTICS;TESE;['VICTOR FLAVIO DE ANDRADE ARAUJO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ContAudIT - Uma Abordagem de Auditoria Contínua com Blockchain para Gerenciamento de Mudanças em TI;DISSERTAÇÃO;['CARLOS EDUARDO DOS SANTOS FRAGA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DFA and DCCA estimation in the presence of missing data								 								 								;DISSERTAÇÃO;['ALISSON SILVA NEIMAIER']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SÍNTESE DE DERIVADOS 1,2,3- TRIAZÓIS: OBTENÇÃO, CARACTERIZAÇÃO E ATIVIDADE TOXICOLÓGICA;DISSERTAÇÃO;['ELBA LIXINSKI GUTTERRES']
