Sigla da IES;Instituição;Projeto;Responsável
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Inovação pedagógica e qualificação da Educação Básica;CARINE BUEIRA LOUREIRO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMAT;DIEGO PIAZZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Agro. CityLivingLab: Agricultura Inteligente em Cidades;ANA CRISTINA FACHINELLI BERTOLINI
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Arroz;MARCELO GODINHO
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;BIO-CANETA;EDER MATEUS NUNES GONCALVES
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;SAFEYE;VINICIUS MENEZES DE OLIVEIRA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;TUBOMAQ;VINICIUS MENEZES DE OLIVEIRA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;VIANEST;EDUARDO NUNES BORGES
UERGS;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;Caracterização e estudo do potencial de inovação de Plantas Alimentícias Não Convencionais (PANCs) no RS;ELAINE BIONDO
UNIJUÍ;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;Controle Social e Transferência de Tecnologias Sociais em Desenvolvimento de Territórios: Inovação e Criatividade para uma Cidade Inteligente - 12/2020 - 12/2024;SERGIO LUIS ALLEBRANDT
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Fabcare: Integração de Tecnologias Emergentes na Saúde através do Design Estratégico e Biodesign;ANDRE CANAL MARQUES
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;O uso de tecnologia no treino cognitivo em idosos saudáveis;SILVIA VIRGINIA COUTINHO AREOSA
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;GT-MaisAção - Uma Plataforma Gameficada para Auxiliar na Curricularização da Extensão;RICARDO TOMBESI MACEDO
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;USO DE ÓLEOS ESSENCIAIS NO CONTROLE DE PRAGAS E DOENÇAS NA AGRICULTURA;DENISE SCHMIDT
FEEVALE;UNIVERSIDADE FEEVALE;MÍDIA, INFÂNCIAS E DISCRIMINAÇÃO: AMPLIANDO O DEBATE SOBRE COMUNICAÇÃO E EDUCAÇÃO;SARAI PATRICIA SCHMIDT
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Potencial de bioinsumos para adaptação climática e mitigação de emissões de carbono na agricultura;MARCUS SEFERIN
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LIVING LAB AZONASUL RURAL;MARCELO FERNANDES PACHECO DIAS
FEEVALE;UNIVERSIDADE FEEVALE;Mídia, Infâncias e Discriminação: limites e possibilidades dos desafios da Comunicação e Educação no século XXI;SARAI PATRICIA SCHMIDT
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Pesquisa e transferência de tecnologia para o desenvolvimento de sistemas sustentáveis de integração lavoura-pecuária (ILP) e lavoura-pecuária-floresta (ILPF) no Bioma Pampa;NAYLOR BASTIANI PEREZ
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Eventos Climáticos Extremos: Mapeamento de Áreas Susceptíveis a Movimentos de Massa e Inundação;FELIPE GUADAGNIN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Empilhamento de Rejeito Filtrado Aglomerado;NILO CESAR CONSOLI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Modernização do Centro de Pesquisas Avançadas em Neoplasias;LEANDRO TOTTI CAVAZZOLA
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Programa de Pesquisa e Desenvolvimento voltado a desastres climáticos: Governança e Multidimensionalidade dos riscos climático: abordagem multidisciplinar em comunicação de proximidade, interpretação geopatrimonial e economia ecológica;ADRIANO SEVERO FIGUEIRO
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Desenvolvimento e inovação em bioprodutos, ecotoxicologia e processos analíticos;LEANDRO MACHADO DE CARVALHO
FEEVALE;UNIVERSIDADE FEEVALE;AVALIAÇÃO DE AGROTÓXICOS EM ÁGUAS SUPERFICIAIS E A UTILIZAÇÃO DO MODELO ALTERNATIVO IN VIVO CAERNORHABDITIS ELEGANS COMO FERRAMENTA INTEGRATIVA NA ECOTOXICOLOGIA;MARIELE FEIFFER CHARAO
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Tecnologias Inovadoras para a Descarbonização Agropecuária e Produção de Hidrogênio de Baixo carbono e Produção de Bioinsumos;MAURIZIO SILVEIRA QUADRO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AVALIACAO DE CHAPAS CONFORMADAS EM LIGAS DE MAGNESIO COM TERRAS RARAS;JAKSON MANFREDINI VASSOLER
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Suplementos e bioprodutos derivados de fontes alternativas para o bem-estar animal: Um projeto de inovação tecnológica;CLAUDIO MARTIN PEREIRA DE PEREIRA
UPF;UNIVERSIDADE DE PASSO FUNDO;: IMOBILIZAÇÃO DE MICRORGANISMOS EM BIOCHAR DE RESÍDUOS DE UVA PARA INCORPORAÇÃO EM FERTILIZANTE NPK;JEFERSON STEFFANELLO PICCIN
UPF;UNIVERSIDADE DE PASSO FUNDO;"BeiCrop Lab: prospecção, validação e produção de insumos voltados para a multiplicação ""On Farm"" de bioinsumos";JEFERSON STEFFANELLO PICCIN
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Centro de Avaliação de Segurança, Desempenho e Caracterização de Materiais de Baterias Para Veículos Elétricos, SAFEEVMOB;MARCAL JOSE RODRIGUES PIRES
UCS;UNIVERSIDADE DE CAXIAS DO SUL;DataLink Innovation: uma plataforma de conexão de atores do ecossistema de inovação de Caxias do Sul;DANIEL LUIS NOTARI
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MUSEU DO CONHECIMENTO: SCIENTIAH EM EXTENSÃO;CLAUDIA RIBEIRO BELLOCHIO
