Sigla da IES;Instituição;Projeto;Responsável
UCS;UNIVERSIDADE DE CAXIAS DO SUL;ESTRATÉGIAS PARA PRODUÇÃO DE FILME FÚNGICO EMPREGANDO MICÉLIOS DE MACROFUNGOS REGIONAIS E MATÉRIAS-PRIMAS LIGNOCELULÓSICAS;MARLI CAMASSOLA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Compósitosmulticamadas - DESENVOLVIMENTO DE COMPÓSITO MULTICAMADA DE FIBRAS DE ALTO DESEMPENHO E FILMES POLIOLEFÍNICOS COM PROPRIEDADES BALÍSTICAS;ADEMIR JOSE ZATTERA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Otimização do Problema de Roteamento de Veículos com Coletas e Entregas Simultâneas e Janelas de Tempo;LEONARDO DAGNINO CHIWIACOWSKY
UNILASALLE;UNIVERSIDADE LA SALLE;"Aspectos Organizacionais, Indicadores de Qualidade Institucional e Epidemiologia em UTI: uma abordagem baseada em ""machine learning""";THIAGO COSTA LISBOA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Simulação esforços mecânicos;DIEGO PIAZZA
FEEVALE;UNIVERSIDADE FEEVALE;Concepção de um framework do ecossistema de inovação do Cluster de Tecnologias para Saúde;CRISTINE HERMANN NODARI
FEEVALE;UNIVERSIDADE FEEVALE;Programa Institucional de Bolsas de Pós-Graduação CNPq - Universidade Feevale;FERNANDO ROSADO SPILKI
FEEVALE;UNIVERSIDADE FEEVALE;METAGENÔMICA PARA A INVESTIGAÇÃO DE VÍRUS EM ANIMAIS, SERES HUMANOS E NO AMBIENTE;FERNANDO ROSADO SPILKI
FEEVALE;UNIVERSIDADE FEEVALE;Biomonitoramento da exposição humana a substâncias per e polifluoroalquiladas empregando estratégias alternativas de amostragem;RAFAEL LINDEN
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Nanocápsulas poliméricas contendo antioxidantes naturais destinadas à fotoproteção: desenvolvimento, caracterização físico-química e avaliação de eficácia e toxicidade;LETICIA MARQUES COLOME
FEEVALE;UNIVERSIDADE FEEVALE;AVALIAÇÃO FARMACOGENÉTICA E MONITORAMENTO DO MESILATO DE IMATINIBE EMPREGANDO SANGUE SECO;MARINA VENZON ANTUNES
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;IdeiaWare: Ferramenta Computacional Colaborativa Fase para promover a Cocriação;REJANE FROZZA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Repense EcoMachine;DINALVA AIRES DE SALES
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PANexus: governança da sociobiodiversidade para a segurança hídrica, energética e alimentar na Mata Atlântica Sul;GABRIELA PEIXOTO COELHO DE SOUZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;POSTURAL 2;CARLOS ALBERTO COSTA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Implantação de métodos diagnósticos e terapêuticos de neoplasmas em animais domésticos;EDUARDO CONCEICAO DE OLIVEIRA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;AVALIAÇÃO DA TOXICIDADE DE NANOCARREADORES LIPÍDICOS DE INTERESSE BIOTECNOLÓGICO;MARIANA APPEL HORT
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Sistema e método para o monitoramento do comportamento e atividade reprodutiva de animais em rebanho;IVAN MULLER
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Desenvolvimento de materiais avançados para utilização no setor automotivo;JANAINA DA SILVA CRESPO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Desenvolvimento e Caracterização de Geopolímeros;JANAINA DA SILVA CRESPO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Rotomoldados;CARLOS ALBERTO COSTA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ANÁLISE NUMÉRICA E EXPERIMENTAL DE SOLUÇÕES TECNOLÓGICAS PARA A INDÚSTRIA DE PETRÓLEO E GÁS;ROGERIO JOSE MARCZAK
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Concurso Binacional de Ideias Inovadoras;ANDRESSA HENNIG SILVA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PoliDrill;RODRIGO PANOSSO ZEILMANN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;OpenROAD: Ferramentas de CAD para microeletrônica de código aberto;RICARDO AUGUSTO DA LUZ REIS
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROTEGE - FINEP;DIEGO PIAZZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;HMDrill;RODRIGO PANOSSO ZEILMANN
UCS;UNIVERSIDADE DE CAXIAS DO SUL;DEMIBAV;CARLOS ALBERTO COSTA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;HMDrill;RODRIGO PANOSSO ZEILMANN
UCS;UNIVERSIDADE DE CAXIAS DO SUL;DMAV;ALEXANDRE FASSINI MICHELS
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Fostering Text Verticalization, Term Linking and Term Harmonization with Semanticterminological Approaches;RAFAEL KUNST
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;APLICAÇÃO DE INTELIGÊNCIA ARTIFICIAL PARA O AUXÍLIO NAS TAREFAS DE GESTÃO DE PEQUENOS NEGÓCIOS;RAFAEL KUNST
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Qualificação do Programa de Pós-Graduação em Tecnologia Ambiental (CNPq Processo nr 400862/2019-0);VALDERI LUIZ DRESSLER
IFSUL;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;Alterações sensoriais, microbiológicos e físico-químicas de destilados vínicos armazenados em madeiras brasileiras: comparação entre os efeitos do uso de pellets e barricas;RICARDO LEMOS SAINZ
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Impulsionando o Ecossistema de Inovação da Serra Gaúcha: O level up da incubadora ao parque tecnológico UCS.;MATHEUS PARMEGIANI JAHN
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Projeto Doutorado Acadêmico para Inovação (DA)I - Unisinos;ALSONES BALESTRIN
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PROJETO INSTITUCIONAL DE INTERNACIONALIZAÇÃO - UNISINOS;ALSONES BALESTRIN
UCS;UNIVERSIDADE DE CAXIAS DO SUL;SETOR TURÍSTICO DE GRAMADO;MICHEL BREGOLIN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Empreendedorismo Campus Dom Pedrito: Inovação e Desenvolvimento;ADRIANA PIRES NEVES
UCS;UNIVERSIDADE DE CAXIAS DO SUL;ATUALIZAÇÃO DO PLANO ESTRATÉGICO DE DESENVOLVIMENTO DA SERRA 2022/2030;MARIA CAROLINA ROSA GULLO
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Desenvolvimento de um produto para prevenção de hipocalcemia;MARCIO NUNES CORREA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROPOSTA PARA SERVIÇOS DE TREINAMENTO E/OU CONSULTORIA PARA RETOMADA DO OT-CMD (OBSERVATÓRIO DE TURISMO DE CONCEIÇÃO DE MATO DENTRO-MG);MICHEL BREGOLIN
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Oncologia Celular e Molecular;TIAGO VEIRAS COLLARES
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Avaliação do Poder e Vigor fermentativo de leveduras isoladas de Uvas Vitis labrusca 'BORDÔ' em vinhedos da Região do Alto Vale do Itajaí, Santa Catarina;MARCOS ROBERTO DOBLER STROSCHEIN
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Filtros Antivirais;CESAR AGUZZOLI
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;COCRIAÇÃO, A ESTRATÉGIA PARA O DESENVOLVIMENTO SUSTENTÁVEL E INOVAÇÃO TECNOLÓGICA NA REGIÃO DOS VALES;ANDRE LUIZ EMMEL SILVA
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Construção de uma vacina vetorizada utilizando M. bovis BCG recombinante contra linfadenite caseosa;SIBELE BORSUK
