Ecossistema;Sigla;Matriculas;Nome;Cidade;Link
Metropolitana e Litoral Norte;ISI;;Instituto SENAI de Tecnologia em Couro e Meio Ambiente;Estância Velha;https://www.senairs.org.br/institutos/couro-e-meio-ambiente
Metropolitana e Litoral Norte;ISI;;Instituto SENAI de Tecnologia em Petróleo, Gás e Energia;Esteio;https://www.senairs.org.br/institutos/petroleo-gas-e-energia
Metropolitana e Litoral Norte;Liberato;;Fundação Escola Técnica Liberato Salzano Vieira da Cunha;Novo Hamburgo;https://www.liberato.com.br/
Metropolitana e Litoral Norte;PUCRS;1313;Pontifícia Universidade Católica Do Rio Grande Do Sul;Porto Alegre;www.pucrs.br
Metropolitana e Litoral Norte;SOFTSUL;;Assoc. Sulriograndense De Apoio Ao Des. De Software;Porto Alegre;https://www.softsul.org.br/
Metropolitana e Litoral Norte;UCS;536;Universidade De Caxias Do Sul - Campus Vale do Caí;São Sebastião do Caí;https://www.ucs.br/site/vestibular/campus-universitario-vale-do-cai/
Metropolitana e Litoral Norte;UERGS;;Universidade Estadual Do Rio Grande Do Sul;Porto Alegre;https://www.uergs.edu.br
Metropolitana e Litoral Norte;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Guaíba;Guaíba;https://www.uergs.edu.br/guaiba
Metropolitana e Litoral Norte;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Litoral Norte;Osório;https://www.uergs.edu.br/litoral-norte-osorio
Metropolitana e Litoral Norte;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Montenegro;Montenegro;https://www.uergs.edu.br/montenegro
Metropolitana e Litoral Norte;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Tapes;Tapes;https://www.uergs.edu.br/tapes
Metropolitana e Litoral Norte;UFCSPA;42;Fundação Universidade Federal De Ciências Da Saúde De Porto Alegre;Porto Alegre;https://www.ufcspa.edu.br
Metropolitana e Litoral Norte;UFRGS;243;Universidade Federal Do Rio Grande Do Sul;Porto Alegre;https://www.ufrgs.br
Metropolitana e Litoral Norte;UFRGS;243;Universidade Federal Do Rio Grande Do Sul - Campus Litoral Norte;Tramandaí;https://www.ufrgs.br/litoral/
Metropolitana e Litoral Norte;ULBRA;569;Universidade Luterana Do Brasil;Canoas;https://www.ulbra.br
Metropolitana e Litoral Norte;ULBRA;569;Universidade Luterana Do Brasil - Campus Gravataí;Gravataí;https://www.ulbra.br/gravatai
Metropolitana e Litoral Norte;ULBRA;569;Universidade Luterana Do Brasil - Campus Guaíba;Guaíba;https://www.ulbra.br/guaiba
Metropolitana e Litoral Norte;ULBRA;569;Universidade Luterana Do Brasil - Campus São Jerônimo;São Jerônimo;https://www.ulbra.br/sao-jeronimo
Metropolitana e Litoral Norte;ULBRA;569;Universidade Luterana Do Brasil - Campus Torres;Torres;https://www.ulbra.br/torres
Metropolitana e Litoral Norte;UNISC;233;Universidade De Santa Cruz Do Sul - Campus Capão da Canoa;Capão da Canoa;https://www.unisc.br/pt/onde-estamos/capao-da-canoa
Metropolitana e Litoral Norte;UNISC;233;Universidade De Santa Cruz Do Sul - Campus Montenegro;Montenegro;https://www.unisc.br/pt/onde-estamos/montenegro
Metropolitana e Litoral Norte;UNISINOS;3193;Universidade Do Vale Do Rio Dos Sinos;São Leopoldo;www.unisinos.br
Metropolitana e Litoral Norte;UNISINOS;3193;Universidade Do Vale Do Rio Dos Sinos - Campus Porto Alegre;Porto Alegre;https://www.unisinos.br/institucional/onde-estamos/porto-alegre
Noroeste e Missões;FAHOR;;Faculdade Horizontina;Horizontina;https://fahor.com.br/
Noroeste e Missões;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Panambi;Panambi;https://www.iffarroupilha.edu.br/panambi
Noroeste e Missões;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Santa Rosa;Santa Rosa;https://www.iffarroupilha.edu.br/santa-rosa
Noroeste e Missões;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Santo Ângelo;Santo Ângelo;https://www.iffarroupilha.edu.br/santo-angelo
Noroeste e Missões;IFFar;227;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha - Campus Santo Augusto;Santo Augusto;https://www.iffarroupilha.edu.br/santo-augusto
Noroeste e Missões;SETREM;;Sociedade Educacional Três de Maio;Três de Maio;https://setrem.edu.br/
Noroeste e Missões;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus São Luiz Gonzaga;São Luiz Gonzaga;https://www.uergs.edu.br/sao-luiz-gonzaga
Noroeste e Missões;UERGS;;Universidade Estadual Do Rio Grande Do Sul - Campus Três Passos;Três Passos;https://www.uergs.edu.br/tres-passos
