Sigla;Nome;Tipo Produção;Autores
UDESC;DESVENDANDO A NATUREZA DE 3XMM J185246.6+003317: UM MAGNETAR DE ALTA MASSA COM BAIXO CAMPO MAGNÉTICO;DISSERTAÇÃO;['IAGO FILIPE DE SOUZA SILVA']
UFRGS;CÁLCULOS MECÂNICOS QUÂNTICOS NO DESENVOLVIMENTO DE CAMPOS DE FORÇA PARA SÉRIE DE CRISTAIS LÍQUIDOS 3-(4-ALQUILOXIFENIL)-5-(4-ARIL)ISOXAZOL;TESE;['LEANDRO GREFF DA SILVEIRA']
UFABC;ACCELERATION AND RADIATION: CLASSICAL AND QUANTUM ASPECTS;TESE;['FELIPE IGNACIO PORTALES OLIVA']
IPT;An empirical study of the microservices cataloging tool impact in a large software development unit;DISSERTAÇÃO;['MATHEUS CHAVES LEITE']
UFG;Teoria de campo autoconsistente não simétrico para cadeias lineares de carbono;TESE;['RODRIGO DA SILVA AMORIM']
UFPA;A PLUMA DO RIO AMAZONAS: FONTE, DINÂMICA E TRANSPORTE DE SEDIMENTOS PARA ESTUÁRIOS E MANGUEZAIS DO LITORAL LESTE AMAZÔNICO;TESE;['ARIANE MARIA MARQUES DA SILVA']
UNICAMP;Piezoelectrically-actuated acousto-optic modulator of Alumunim Nitride (AlN);DISSERTAÇÃO;['PEDRO ARISTON COSTA PESSOA']
UFPE;Um modelo baseado em visão computacional para a detecção de quedas humanas;TESE;['MOUGLAS EUGENIO NASARIO GOMES']
UNIFOR;VIGILÂNCIA DE SURTOS DE COVID-19 ATRAVÉS DE MINERAÇÃO DE TEXTO APLICADA AOS REGISTROS ELETRÔNICOS DE SAÚDE;DISSERTAÇÃO;['ERIK ZARKO MACEDO SOLHA']
UNB;“GEOTECNOLOGIA APLICADA A ARQUEOLOGIA: CARACTERIZAÇÃO GPR DO SÍTIO ARQUEOLÓGICO GO-JA-02, SERRANÓPOLIS-GO”. ;DISSERTAÇÃO;['ISABELA RESENDE ALMEIDA']
UFRGS;“Produção de matéria escura em ressonância através de um novo mediador massivo de spin-1” (“Resonant dark matter production through a new spin-1 massive mediator”);TESE;['MARCIO DE SOUSA MATEUS JUNIOR']
UFC;Confiabilidade e Interpretação dos Modelos de Aprendizado de Máquina em Ambientes Virtuais de Aprendizagem com análise de desempenho e conformal prediction;DISSERTAÇÃO;['FRANCISCO ROMES DA SILVA FILHO']
UFBA;CARACTERIZAÇÃO FÍSICO-QUÍMICA E MINERALÓGICA DE SOLOS E SEDIMENTOS DOS MANGUEZAIS DA BAÍA DE TODOS OS SANTOS;TESE;['JOSEANE NASCIMENTO DA CONCEICAO']
UFPA;Continuous and Discrete Analysis of Linear Transient Equations with Time-Dependent Coefficients;TESE;['ROMARIO SILVA DUARTE']
UNISINOS;“ParkMapSense: Um Modelo Computacional de Mapeamento e Predição de Ocupação de Vagas de Estacionamento Rotativo Público baseado em Históricos de Contextos;DISSERTAÇÃO;['CARLOS EDUARDO LIEDTKE BORGES']
UFRJ;Transferência Assimétrica de Hidrogênio de Homoisoflavonas via Resolução Cinética Dinâmica;DISSERTAÇÃO;['MARCOS VINICIUS DE OLIVEIRA DA SILVA']
UFMG;Percolation on trees under l-dependent random environments;TESE;['HELEN MARA COSTA MOREIRA']
UFPA;BRAQUIÓPODES DEVONIANOS DA BACIA DO AMAZONAS: NOVOS DADOS TAXONÔMICOS, PALEOBIOGEOGRÁFICOS E RELAÇÕES COM AS MUDANÇAS AMBIENTAIS;TESE;['LUIZ FELIPE AQUINO CORREA']
UFPEL;Alfaba: Desenvolvimento de uma Ferramenta Multissensorial com Interface Tangível para o Suporte à Alfabetização de Crianças com Dislexia;DISSERTAÇÃO;['LAURA QUEVEDO JURGINA']
UFRJ;RECONSTRUÇÃO PALEODEPOSICIONAL A PARTIR DA INTEGRAÇÃO DE LITOFÁCIES E PALINOFÁCIES DOS DEPÓSITOS SEDIMENTARES ALUVIAIS PLEISTOCÊNICOS DA GRUTA DO SUMIDOURO, MUNICÍPIO DE CAMBUCI, RIO DE JANEIRO;DISSERTAÇÃO;['JULIANO TEIVE DE OLIVEIRA']
UFPE;IMBALANCED REGRESSION PIPELINE RECOMMENDATION;TESE;['JUSCIMARA GOMES AVELINO']
UDESC;INVESTIGAÇÃO DA ADULTERAÇÃO DE AMOSTRAS DE CACAU EM PÓ POR FARINHAS UTILIZANDO A ESPECTROSCOPIA NIR E FERRAMENTAS QUIMIOMÉTRICAS DE CLASSIFICAÇÃO.;DISSERTAÇÃO;['JOSE EDIRAILSON QUIRINO JUNIOR']
PUC-RIO;Caracterização da Interface Modelo Água-Óleo-Calcita por FTIR-ATR e seu Impacto em Aplicações para Recuperação Avançada de Petróleo;TESE;['JESANA DE MOURA SILVA']
FURG;“PAPEL DO FITOPLÂNCTON NA DINÂMICA DO CO2 NA PROFUNDIDADE DO  MÁXIMO DA CLOROFILA-A AO LONGO DE UMA SEÇÃO ZONAL (34.5ºS) NO  OCEANO ATLÂNTICO SUL;DISSERTAÇÃO;['JOAO VITOR LANGORTE BUENO']
UFRGS;NOVA ESTRÁTEGIA DE SÍNTESE DE TIOHIDANTOÍNAS: ESTUDO DA RELAÇÃO ESTRUTURA-ATIVIDADE E DOCKING MOLECULAR;DISSERTAÇÃO;['TARSIS AUGUSTO ALEXANDRE CHAGAS']
UFSC;Churn Prediction in Enterprises with High  Customer Turnover;DISSERTAÇÃO;['WILLIAM JONES BECKHAUSER']
